2022-12-10 18:28:50,793 INFO    StreamThr :155967 [internal.py:wandb_internal():87] W&B internal server running at pid: 155967, started at: 2022-12-10 18:28:50.792441
2022-12-10 18:28:50,795 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: status
2022-12-10 18:28:50,797 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: status
2022-12-10 18:28:50,799 DEBUG   SenderThread:155967 [sender.py:send():303] send: header
2022-12-10 18:28:50,799 INFO    WriterThread:155967 [datastore.py:open_for_write():75] open: /home/wenxuan/Stable-diffusion-for-book-cover-generation/Output_images/v12 inference/wandb/run-20221210_182850-zw0344ea/run-zw0344ea.wandb
2022-12-10 18:28:50,800 DEBUG   SenderThread:155967 [sender.py:send():303] send: run
2022-12-10 18:28:50,812 INFO    SenderThread:155967 [sender.py:_maybe_setup_resume():593] checking resume status for None/Stable-diffusion-for-book-cover-generation-Output_images_v12 inference/zw0344ea
2022-12-10 18:29:07,402 INFO    StreamThr :155967 [internal.py:wandb_internal():87] W&B internal server running at pid: 155967, started at: 2022-12-10 18:29:07.400319
2022-12-10 18:29:07,404 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: status
2022-12-10 18:29:07,405 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: status
2022-12-10 18:29:07,407 DEBUG   SenderThread:155967 [sender.py:send():303] send: header
2022-12-10 18:29:07,407 INFO    WriterThread:155967 [datastore.py:open_for_write():75] open: /home/wenxuan/Stable-diffusion-for-book-cover-generation/Output_images/v12 inference/wandb/run-20221210_182907-fbdkp0mg/run-fbdkp0mg.wandb
2022-12-10 18:29:07,408 DEBUG   SenderThread:155967 [sender.py:send():303] send: run
2022-12-10 18:29:07,416 INFO    SenderThread:155967 [sender.py:_maybe_setup_resume():593] checking resume status for None/Stable-diffusion-for-book-cover-generation-Output_images_v12 inference/fbdkp0mg
2022-12-10 18:29:41,630 INFO    StreamThr :155967 [internal.py:wandb_internal():87] W&B internal server running at pid: 155967, started at: 2022-12-10 18:29:41.629457
2022-12-10 18:29:41,632 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: status
2022-12-10 18:29:41,634 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: status
2022-12-10 18:29:41,635 INFO    WriterThread:155967 [datastore.py:open_for_write():75] open: /home/wenxuan/Stable-diffusion-for-book-cover-generation/Output_images/v12 inference/wandb/run-20221210_182941-fbdkp0mg/run-fbdkp0mg.wandb
2022-12-10 18:29:41,636 DEBUG   SenderThread:155967 [sender.py:send():303] send: header
2022-12-10 18:29:41,637 DEBUG   SenderThread:155967 [sender.py:send():303] send: run
2022-12-10 18:29:41,647 INFO    SenderThread:155967 [sender.py:_maybe_setup_resume():593] checking resume status for None/Stable-diffusion-for-book-cover-generation-Output_images_v12 inference/fbdkp0mg
2022-12-10 18:29:46,638 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:29:51,639 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:29:56,641 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:30:01,642 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:30:06,643 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:30:11,645 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:30:16,646 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:30:21,647 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:30:26,649 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:30:31,650 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:30:36,651 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:31:20,147 INFO    StreamThr :155967 [internal.py:wandb_internal():87] W&B internal server running at pid: 155967, started at: 2022-12-10 18:31:20.145983
2022-12-10 18:31:20,149 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: status
2022-12-10 18:31:20,150 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: status
2022-12-10 18:31:20,153 DEBUG   SenderThread:155967 [sender.py:send():303] send: header
2022-12-10 18:31:20,153 INFO    WriterThread:155967 [datastore.py:open_for_write():75] open: /home/wenxuan/Stable-diffusion-for-book-cover-generation/Output_images/v12 inference/wandb/run-20221210_183120-fbdkp0mg/run-fbdkp0mg.wandb
2022-12-10 18:31:20,153 DEBUG   SenderThread:155967 [sender.py:send():303] send: run
2022-12-10 18:31:20,160 INFO    SenderThread:155967 [sender.py:_maybe_setup_resume():593] checking resume status for None/Stable-diffusion-for-book-cover-generation-Output_images_v12 inference/fbdkp0mg
2022-12-10 18:31:25,154 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:31:30,156 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: keepalive
2022-12-10 18:31:33,374 DEBUG   SenderThread:155967 [sender.py:send():303] send: exit
2022-12-10 18:31:33,375 INFO    SenderThread:155967 [sender.py:send_exit():442] handling exit code: 255
2022-12-10 18:31:33,376 INFO    SenderThread:155967 [sender.py:send_exit():444] handling runtime: 0
2022-12-10 18:31:33,377 DEBUG   SenderThread:155967 [sender.py:send():303] send: exit
2022-12-10 18:31:33,377 INFO    SenderThread:155967 [sender.py:send_exit():442] handling exit code: 255
2022-12-10 18:31:33,377 INFO    SenderThread:155967 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-10 18:31:33,378 INFO    SenderThread:155967 [sender.py:send_exit():444] handling runtime: 0
2022-12-10 18:31:33,378 INFO    SenderThread:155967 [sender.py:send_exit():450] send defer
2022-12-10 18:31:33,379 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,379 INFO    SenderThread:155967 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-10 18:31:33,379 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 0
2022-12-10 18:31:33,379 INFO    SenderThread:155967 [sender.py:send_exit():450] send defer
2022-12-10 18:31:33,380 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,381 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,381 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 0
2022-12-10 18:31:33,381 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 0
2022-12-10 18:31:33,381 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 1
2022-12-10 18:31:33,382 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,382 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,382 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 0
2022-12-10 18:31:33,383 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 1
2022-12-10 18:31:33,383 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 1
2022-12-10 18:31:33,383 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
